#{"t_start": 1663070257.9762409, "env_id": null}
r,l,t
-4.558793,25,205.698707
-13.286146,25,209.819818
-2.427029,25,209.831019
-3.598788,25,209.841945
-7.686773,25,209.852815
-4.416986,25,209.86365
-3.867472,25,213.944798
-2.269737,25,213.955772
-2.69386,25,213.966676
-2.711702,25,213.97753
-3.902106,25,213.988385
-2.496968,25,218.079011
-2.031488,25,218.089996
-7.265181,25,218.100904
-4.595347,25,218.11178
-7.858992,25,218.122638
-2.115634,25,222.224606
-6.711395,25,222.235595
-4.805544,25,222.246483
-8.084337,25,222.257327
-3.682633,25,222.268211
-3.490849,25,226.37331
-3.776221,25,226.384474
-8.639266,25,226.395434
-8.325013,25,226.406325
0.003735,6,226.409169
-4.410763,25,230.505363
0.158356,6,230.508393
-4.225194,25,230.519434
-4.908632,25,230.53033
-3.960234,25,230.541249
-3.791827,25,234.643257
-4.77606,25,234.654253
-1.755313,6,234.65711
-3.623703,25,234.667994
-5.694615,25,234.678861
-2.041914,6,238.780308
-9.389061,25,238.791382
-3.931403,25,238.802309
-7.011242,25,238.813153
-3.611268,25,238.824018
-3.966866,25,242.919606
-3.597109,25,242.930573
-3.257517,25,242.94143
-2.905509,25,242.952253
-5.075988,25,242.963081
-3.544874,25,247.066315
-4.380234,25,247.07727
-2.221837,25,247.088127
-9.142824,25,247.098982
-2.470919,25,247.109878
-2.69848,25,251.239796
-1.522088,25,251.25088
-3.929509,25,251.261717
-5.326537,25,251.272518
-4.151323,25,251.28329
-5.669654,25,255.385772
-2.79371,25,255.396765
-0.112962,6,255.399627
-5.359769,25,255.410485
-2.933238,25,255.421373
-9.213995,25,259.530085
-5.20096,25,259.541085
-4.285671,25,259.551974
-6.989111,25,259.562847
-1.914795,25,259.5737
-2.102232,25,263.673163
-3.401169,25,263.684095
-2.487444,25,263.694919
-3.815117,25,263.706274
-1.63385,25,263.717254
-5.455694,25,267.853788
-1.82881,25,267.864924
-3.179799,25,267.875883
-2.087681,25,267.886766
-3.446732,25,267.897616
-4.689522,25,272.008752
-1.815433,25,272.019752
-3.340172,25,272.030688
-2.10231,25,272.041601
-7.348443,25,272.052493
-3.475424,25,276.162789
-3.076009,25,276.173757
-1.880861,25,276.184691
-1.336778,25,276.195564
-1.246178,6,276.198416
-5.680014,25,280.312943
-5.958469,25,280.323968
-5.133792,25,280.334905
-8.892899,25,280.34579
-4.930038,25,280.356664
-3.292985,25,284.49259
-4.973624,25,284.505126
-3.877232,25,284.516024
-0.771407,6,284.518911
-3.770053,25,284.529788
-7.475749,25,288.645786
-0.779788,6,288.648816
-2.890793,25,288.659742
-1.606862,25,289.195635
-3.868954,25,289.263687
-2.417808,25,293.362398
-1.521398,25,293.373362
-2.749184,25,293.384264
-5.323458,25,293.395146
-3.798861,25,293.406042
-3.960928,25,297.504309
0.097847,6,297.507239
-3.494868,25,297.518134
-2.996686,25,297.529038
-3.311237,25,297.539964
-1.946785,25,301.620495
-1.40698,25,301.63168
-5.796354,25,301.642569
0.471288,6,301.645416
-7.410664,25,301.656279
-3.461645,25,305.770201
-4.525375,25,305.781164
-11.392585,25,305.792029
-3.113234,25,305.802856
-2.248331,25,305.813666
-1.943599,25,309.911125
-3.373863,25,309.922258
-1.794504,25,309.93318
-2.559086,25,309.944001
-2.430939,25,309.954836
-12.377645,25,314.070058
-3.178404,25,314.081018
-4.618089,25,314.091899
-2.357205,25,314.102754
-3.568365,25,314.1136
-3.194702,25,318.197206
-3.695356,25,318.208169
-3.571707,25,318.219018
0.222488,6,318.221854
-3.39182,25,318.232706
-9.727212,25,322.323807
-5.057392,25,322.33493
-2.424364,25,322.345878
-2.7551,25,322.356768
-6.050922,25,322.367639
-5.271058,25,326.466503
-3.338244,25,326.47752
-3.913885,25,326.48841
-4.034622,25,326.499294
-3.72145,25,326.510167
-4.851429,25,330.618904
-3.496932,25,330.629889
-4.118601,25,330.64079
-2.791125,25,330.651662
-5.186288,25,330.662507
-3.879194,25,334.747451
-1.556205,25,334.758413
-2.581212,25,334.76927
-3.676502,25,334.780117
-4.774306,25,334.790969
-2.918946,25,338.887691
-7.672165,25,338.898705
-4.1157,25,338.909627
-2.180865,25,338.920555
-3.505959,25,338.931465
-3.073053,25,343.025259
-4.132217,25,343.03622
-1.239854,25,343.047104
-6.122832,25,343.057984
-1.322564,25,343.068799
-4.812374,25,347.158279
0.500899,6,347.161205
-6.857417,25,347.17209
-4.906343,25,347.182987
-7.948215,25,347.193816
-5.304627,25,351.285679
-2.14747,25,351.296835
-2.506007,25,351.307746
-5.168777,25,351.318612
-2.1049,25,351.329452
-9.172193,25,355.41539
-4.473737,25,355.426419
-3.086792,25,355.437357
-5.548968,25,355.448172
-8.922941,25,355.458977
-1.950711,25,359.565251
-2.688601,25,359.576676
-9.102947,25,359.587561
-8.850582,25,359.598441
-7.30605,25,359.609265
-8.700478,25,363.716132
-8.865055,25,363.727112
-3.772863,25,363.737974
-9.553555,25,363.748817
-2.839479,25,363.759645
-3.587252,25,367.839599
-1.962943,6,367.842532
-7.444255,25,367.853468
-3.685895,25,367.864351
-2.364113,25,367.875195
-2.251073,25,371.961453
-5.103726,25,371.972393
-2.223953,25,371.983252
-3.967116,25,371.994081
-1.797112,25,372.004959
-4.579437,25,376.10016
-4.558777,25,376.111127
-0.121281,6,376.113982
-7.126588,25,376.124861
-3.262322,25,376.135692
-8.513265,25,380.221402
-3.339553,25,380.232532
-6.442573,25,380.243434
-3.526242,25,380.254289
-5.575169,25,380.265126
-4.104519,25,384.332392
-7.740531,25,384.343397
-3.243914,25,384.354316
-2.005473,6,384.35718
-7.372192,25,384.368108
-2.131477,25,388.461357
-2.793032,25,388.472308
-3.608156,25,388.483211
-4.310777,25,388.494088
-6.704498,25,388.504943
-3.310195,25,392.608229
-8.276247,25,392.619292
-1.900252,25,392.630232
-1.779385,25,392.641191
-2.139879,6,392.644047
-4.172444,25,396.731555
-1.787924,25,396.742657
-5.740276,25,396.753532
-7.397966,25,396.764369
-3.937915,25,396.775202
-4.150992,25,400.863285
-1.370057,25,400.87446
-4.383017,25,400.885376
-5.071558,25,400.896258
-3.243047,25,400.907084
-1.336544,25,405.000981
-2.664311,25,405.012173
-1.765369,25,405.023058
-8.525701,25,405.033978
-8.333292,25,405.044789
-2.838993,25,409.152325
-1.995398,6,409.155248
-9.315792,25,409.166143
-4.086508,25,409.177066
-1.55197,25,409.18792
-1.767488,25,413.264046
-2.793993,25,413.275287
-9.542098,25,413.286265
-4.563247,25,413.297197
-2.008983,25,413.308139
-2.913966,25,417.388649
-2.479358,25,417.399609
-4.403322,25,417.410481
-1.545884,25,417.421375
-2.365866,25,417.432226
